Survey.ID,Collecting.Agency,Months,Life.Stage,Field.Fixative,Recipient.COC
EDSM \nPhase 2,USFWS,Apr-Jun,Larvae to \n Juvenile, Formalin\nor Liquid Nitrogen,UC Davis: \n Hammock Lab
DJFMP,USFWS,Jan-Dec,Juvenile to \n Adult,H2O for Lab ID \n or Liquid Nitrogen,UC Davis: \n Hammock Lab \n or FCCL
SLS,CDFW,Sep - Dec,Subadult,Liquid Nitrogen \n or ETOH,UC Davis: \n Hammock Lab
20-mm,CDFW,Dec - May,Adult, Liquid Nitrogen,UC Davis: \n Hammock Lab
LEPS,CDFW,Jun - Aug,Juvenile,Liquid Nitrogen \n or ETOH,UC Davis: \n Hammock Lab
Estuarine and \nMarine Fish (Bay Study),CDFW,Jan-Dec,Juvenile to \nAdult, Sample Kit,CDFW\n Hammock Lab
Yolo Bypass Fish Monitoring,DWR,Jan-Dec,All, Sample Kit,CDFW\n Hammock Lab
Tracy Fish Collection Facility,BOR,Jan-Dec,All,ETOH,Tracy Fish \nCollection Facility
Skinner Fish Collection Facility,DWR,Jan-Dec,All,ETOH or\n Liquid Nitrogen,CDFW\n Hammock Lab
Miscellaneous Bycatch ,Any,Jan-Dec.,All,ETOH,CDFW\n Hammock Lab
