Survey.ID,Collecting.Agency,Months,Life.Stage,Field.Fixative,Recipient.COC
EDSM \nPhase 1,USFWS,Nov - Mar,Adult, Release \nor H2O until Lab ID,UC Davis: \n Teh Lab
EDSM \nPhase 2,USFWS,Mar - May,Juvenile, Formalin\nor Liquid Nitrogen,UC Davis: \n Teh Lab
EDSM \nPhase 3,USFWS,Jun - Nov,Juvenile, Liquid Nitrogen,UC Davis: \n Teh Lab
Fall Midwater Trawl,CDFW,Sep - Dec,Subadult,Liquid Nitrogen \n or ETOH,UC Davis: \n Teh Lab
Spring Kodiak Trawl,CDFW,Dec - May,Adult, Liquid Nitrogen,UC Davis: \n Teh Lab
Summer Townet Survey,CDFW,Jun - Aug,Juvenile,Liquid Nitrogen \n or ETOH,UC Davis: \n Teh Lab
Estuarine and \nMarine Fish (Bay Study),CDFW,Jan-Dec,Juvenile to \nAdult, Sample Kit,CDFW\n Teh Lab
Yolo Bypass Fish Monitoring,DWR,Jan-Dec,All, Sample Kit,CDFW\n Teh Lab
Delta Juvenile Fish \nMonitoring Program,USFWS,Jan-Dec,All, Sample Kit,USFWS\n Teh Lab
Tracy Fish Collection Facility,BOR,Jan-Dec,All,ETOH,Tracy Fish \nCollection Facility
Skinner Fish Collection Facility,DWR,Jan-Dec,All,,
